date,ID,Idle_Phonefacingdown,Idle_Phonefacingup,Lying,Sitting,Standing,Walking,COMMUNICATION,ENTERTAINMENT,FINANCE,MAPS_AND_NAVIGATION,PERSONALIZATION,PRODUCTIVITY,SOCIAL,TOOLS,TRAVEL_AND_LOCAL,VIDEO_PLAYERS,ART_AND_DESIGN,BUSINESS,EDUCATION,FOOD_AND_DRINK,LIFESTYLE,MUSIC_AND_AUDIO,PHOTOGRAPHY,WEATHER,BOOKS_AND_REFERENCE,GAME_STRATEGY,SHOPPING,COMICS,GAME_ACTION,GAME_PUZZLE,GAME_BOARD,GAME_CASUAL,HEALTH_AND_FITNESS,SPORTS,AUTO_AND_VEHICLES,GAME_ADVENTURE,GAME_ROLE_PLAYING,GAME_SPORTS,NEWS_AND_MAGAZINES
2022-11-30,31,9485.397865,20872.88079,1601.75584,85.093279,23871.1675,26078.58727,2941.644,,,,226.957,41.651,1518.706,91.159,,,,39.703,9.873,,,54.884,,,,,,,,,,,,,,,,,
2022-12-01,31,28047.72283,32.556846,21.704564,189.914935,40658.07451,0,3525.137,,,,536.374,2708.665,4612.576,908.588,,783.559,,,181.2,,,265.397,,,,17.527,,,,,,,,,,,,,
2022-12-02,31,9.91893,788.554935,31834.80584,0,15056.93574,0,4298.804,,30.62,,469.815,95.373,10810.19,13.573,,,,,32.444,,,,586.491,,,,,,,,,,,,,,,,
2022-12-03,31,0,15818.24607,39342.53568,65.86362,889.15887,137.215875,15568.19,,279.276,,649.469,380.52,2646.552,1441.141,,1472.532,,13.966,20.563,,,,1058.826,,,273.918,,,,,,,,,,,,,
2022-12-04,31,7.527888,0,17.565072,19720.55726,328.717776,0,1923.316,,,,303.736,404.061,6755.263,1908.619,,,,53.889,77.962,,,27.018,169.574,,,28.093,,,,,,,,,,,,,
2022-12-05,31,17.361597,1486.784034,25.253232,36.301521,11127.20535,16753.94111,3714.475,,,,650.799,197.095,1682.49,1461.593,,581.719,,,110.417,,,,3719.021,,,,,,,,,,,,,,,,
2022-12-06,31,5287.92589,0,0,0,883.038,8137.19517,2603.509,,185.359,,145.062,78.217,7261.597,85.085,,,,,,,,91.547,,,,,,,,,,,,,,,,,
2022-12-07,31,234.764569,22968.33633,353.75483,0,49413.11785,35.375483,2405.051,,,,397.698,2485.246,794.839,108.781,,,,41.464,228.348,,,248.785,,,,24.56,,,,,,,,,,,,,
2022-12-08,32,8438.966988,33804.64811,0,48.780156,300.810962,5093.461289,4851.269,,67.493,,278.852,,6410.406,961.442,,,,,,,,362.524,15.976,,,,,,,,,,,,,,,,
2022-12-09,32,22313.35398,12.782139,29.824991,85.21426,36608.0461,2543.645661,4117.549,,,,165.76,51.562,5652.348,188.901,,142.806,,,3.807,,,,,,,,,,,,,,,,,,,,
2022-12-10,32,40.675464,145.753746,23.727354,17697.21646,3592.99932,20.337732,2644.221,,,165.189,236.613,18.812,1847.798,179.578,,7779.712,,,5.422,406.923,,,,,,,,,,,,,,,,,,,
2022-12-11,32,295.818723,1066.408236,4616.232912,0,31459.04296,24392.26236,10792.863,,,758.928,275.099,117.168,9347.444,658.542,,74.779,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,32,27.142545,151.998252,46598.32126,70.570617,32424.48426,16.285527,8765.189,,,,397.108,319.479,2069.576,14.6,,63.076,,,132.13,,,68.296,,4.575,,,,,,,,,,,,,,,
2022-12-13,32,0,5754.016296,0,0,987.076566,0,3875.516,,,,374.946,174.36,5862.13,58.503,,357.252,,11.264,112.075,,,,,,,,,,,,,,,,,,,,
2022-12-14,32,0,16.99,0,0,0,0,8283.487,,135.427,,697.796,2424.311,3481.938,130.823,,,,44.319,126.742,,,134.021,,,,69.145,,,,,,,,,,,,,
2022-12-17,32,0,142.438257,0,0,70962.18106,1714.844898,2282.546,47.342,173.423,777.194,313.574,83.958,1288.458,344.41,,629.817,,,14.433,,,403.944,,,,,,,,,,,,,,,,,
2022-12-18,32,3992.335912,0,123.867224,0,28861.06319,7546.372416,1665.949,,45.415,,257.155,100.205,5108.471,1785.775,,215.874,,,24.007,,,,,,,,,,,,,,,,,,,,
2022-12-19,32,0,162.02322,491.470434,0,24562.72015,1058.551704,2328.73,,,,703.943,3893.861,1391.998,17.28,,,,15.107,33.495,,,120.354,,,,,,,,,,,,,,,,,
2022-12-11,16,2635.604747,19.683093,0,0,0,0,14414.005,,,,417.517,67.951,108.55,232.737,,,,,,,,,,0.44,,,,,10416.115,,,,,,,,,,
2022-12-12,16,25240,16745,4595,160,5055,750,10629.889,,44.813,,1233.133,15.595,1098.095,121.378,,151.156,,,,,,1.796,,,,,127.522,,25409.241,,,,,,,,,,
2022-12-18,16,130.18291,105.147735,0,0,771.08339,0,9629.004,,,,695.542,29.067,3086.313,740.643,,2.139,,,,,,7.462,,,,,,,4529.551,,,,,,,,,,
2022-12-20,16,10060,9015,8305,95,6520,605,10698.965,2.963,115.864,,1390.467,156.687,4273.044,944.755,,1381.69,,,,,,2078.525,,,,,,18.777,24738.995,,,,,,,,,,
2022-12-21,16,570.000228,2920.001168,1000.0004,0,6655.002662,0,1454.936,,,,668.224,161.769,1832.724,778.141,,156.012,,,,,,7294.375,,0.155,12.177,,,,6304.671,,,,,,,,,,
2023-01-04,18,1921.986,291.21,1349.273,194.14,9774.949,0,21468.562,,268.061,,,493.83,11560.823,430.254,,1837.812,,16.068,334.157,,,182.075,,5.792,,,,,,,5941.894,,,,,,,,
2023-01-05,18,40688.57871,12582.26015,8010.32778,5208.872175,19545.4157,367.05006,616.435,,,,,8.372,16309.419,2320.616,76.621,2052.866,,,176.669,,,1.3,186.257,18.968,,,,3.522,,,403.094,,,,,,,,
2023-01-06,18,47028.24108,5497.807,5541.789456,3045.785078,24685.15343,599.260963,906.343,5.23,66.507,563.964,,10.075,7737.757,1804.211,16.921,967.1,,400.262,,,,97.573,399.827,,,,,,,,4372.403,,,,,,,,
2023-01-07,18,28943.31596,7952.649432,5159.754691,9710.888252,33622.9362,1000.843636,4392.311,,28.394,,,26.464,11884.451,2388.272,2.622,6227.655,,,,,,,141.596,14.676,,,265.871,,,,762.755,,,,,,,,
2023-01-08,18,33247.97796,9605.224614,11394.098,9360.251507,22246.97635,541.219655,5015.233,,25.366,,,,17190.1,461.685,,4603.817,,,170.609,,,,,6.546,,5048.243,,,,,2529.557,,,,,,,,
2023-01-09,18,3606.98402,4328.380824,3458.7518,3567.455428,1235.2685,9.882148,2384.491,2.37,195.228,,,14.106,21024.646,1291.111,,3847.669,,374.072,127.9,,,,,7.805,,2221.695,,,,,2944.533,,,,,,,,
2022-12-02,1,17125.12772,5552.712312,6857.727648,12244.11448,7212.768585,35.184237,8996.64,2343.642,,,,914.279,5086.829,310.619,,1861.018,,,49.386,,,,61.283,,,,,,10809.624,,,,,673.095,,,,,
2022-12-03,1,26821.28662,7911.779924,18048.38058,17566.38507,14160.08755,1892.714068,10381.076,6777.789,,,,1842.029,11211.721,120.54,,582.691,,,97.836,,,,99.288,,,,343.765,,1613.468,,,,,63.128,,,,,
2022-12-04,1,27926.62788,13126.92212,28213.2419,5622.845956,10088.8135,1417.436608,9758.308,62.264,453.916,,,134.063,12967.509,528.238,5.898,4603.125,,,170.027,,,,168.341,,,,,,6295.675,,,,,1531.809,,,,,
2022-12-05,1,22116.87751,6249.54891,31887.7586,6909.641827,11409.81901,717.819674,5018.635,,,,,327.358,10067.018,401.066,49.536,,,,17.57,,,,247.644,,,,,,3628.981,,,,,47.238,,,,,
2022-12-21,1,13805.49665,1626.771713,55692.66197,8704.552439,5809.898975,270.638332,2986.483,,154.778,36.215,,1165.864,7634.99,527.875,30.992,2113.661,,206.557,108.052,,,,990.601,,1.623,,,,10112.729,,,,,,,,,,
2022-12-22,1,26144.71534,17615.79906,17582.9775,4201.159424,7947.50583,12301.05106,7850.589,57.911,,,,286.732,10031.01,82.692,,2773.538,,,160.689,,,,,,,,570.261,,12314.02,,,572.591,,,,,,,
2022-12-19,2,73.3854,831.7012,97.8472,0,836.59356,0,13100.044,,,,,117.082,7962.288,324.406,,,,,59.735,1.625,,,1227.964,,,,,,,,,,,,,,,,
2022-12-20,2,1665.380952,3575.81796,3945.902616,50.01144,505.115544,275.06292,15170.008,,,217.195,,6.16,11978.837,658.294,,640.343,,,1616.267,30.578,,0.839,626.122,,,,,,,,,,,,,,,,
2022-12-22,2,390,4435,1435,5,2060,125,25232.041,,,,,388.78,16645.618,1261.194,,,,,,,,,2174.184,,,,,,,,,,,,,,,,
2022-12-19,3,3291.632352,6121.281216,9817.14912,9874.897056,3869.111712,1559.194272,9646.678,,,,,93.641,17320.119,126.35,,3771.986,,,,,,138.208,,,,,,,,,,,,,,,,,
2022-12-20,3,18016.56292,24597.08059,16036.01877,0,21147.10045,6644.406184,15227.567,,,,,302.197,18967.503,47.719,,1934.142,,,,,,160.485,,,,,,1412.766,,,,,,,,,,,
2022-12-21,3,13226.42693,15881.73233,25500.95192,1202.402448,24198.34927,1402.802856,10172.917,,,,,237.957,18379.733,3.774,,1716.386,,,,,,69.607,,,,,,54.861,,,,,,,,,,,
2022-12-22,3,20197.60186,20547.5603,14948.22514,16048.09454,12898.46851,1249.8516,8603.64,,,,,2.873,18474.096,18.934,,2505.454,,,,,95.021,204.578,,,,,,1777.436,,,,,,,,,,,
2022-12-23,3,30197.95123,21148.56518,9749.33856,3199.782912,22098.50074,0,14203.815,,,,,2.646,22164.558,10.485,,2455.124,,,,,,219.765,,,,,,,,,,,,,,,,,
2022-12-24,3,19598.65544,18948.70003,12449.14593,14349.01559,20048.62457,999.9314,5475.558,64.512,,,,185.127,20624.5,26.395,,3495.41,,,,,,200.615,,,,,,,,,,,,,,,,,
2022-12-25,3,10648.89389,15198.42133,26947.20097,6899.283366,26697.22694,0,9523.294,114.923,,,,4.303,20659.055,0.14,,2424.702,,,,,,187.408,,,,,,,,,,,,,,,,,
2022-12-26,3,9150,23800,19350,1250,27200,5650,9595.808,,,,,,12808.925,,,9402.11,,,,,,30.255,,,,,,748.97,,,,,,,,,,,
2022-12-27,20,18697.29149,20197.07423,21896.828,10548.47194,15047.82016,0,4321.392,112.225,,,,27.126,24116.325,13.32,,27.435,,,,,,251.053,,,,,,,,,,,,,,,,,
2022-12-28,20,19998.0024,21347.86756,13448.65661,2849.715342,28797.12346,0,7197.758,,,,,258.554,17613.632,0.901,,275.873,,,,,,188.6,,,,,,27.94,,,,,,,,,,,
2022-12-29,20,8505.10833,24314.60381,17010.21666,0,36371.84562,200.120196,9625.307,,,,,390.044,21172.475,23.237,,1027.479,,,,,,136.965,,,,,,,,,,,,,,,,,
2022-12-30,20,16270.60338,27584.93065,6558.304745,200.25358,35745.26403,0,7579.148,,1.077,,,37.323,15332.043,129.519,,5514.54,,,,,,175.332,,,,,,,,,,,,,,,,,
2022-12-31,20,30645.56433,27246.05638,17097.52529,899.869752,10548.4732,0,5377.016,,,,,,17276.977,58.012,,2309.217,,,,,,240.839,,,,,,101.267,,,,,,,,,,,
2023-01-01,20,7699.664434,32598.57929,14799.35502,9049.605601,20449.10879,1799.921556,4208.926,,,,,,15201.579,,,7282.203,,,,,,325.263,,,54.41,,,15.924,,,,,,,,,,,
2023-01-02,20,24099.32327,21299.4019,17699.50298,649.981748,22599.36539,49.998596,4829.334,,,,,1.066,16508.495,7.498,,2888.098,,,,,,89.335,,,,,,,,,,,,,,,,,
2023-01-03,20,11350,22750,11550,1750,18200,3500,4097.255,9.599,,,,620.666,6719.951,121.864,,,,,,,,5.031,,,,,,816.809,,,,,,,,,,,
2022-11-28,4,13739.45225,1071.88272,2855.376468,145.895148,5971.279986,23.819616,4374.27,,,,2352.211,403.09,4951.429,595.3,,4415.16,,109.406,30.021,0.755,,76.959,,,,,,4.243,,,,,,,,,,,
2022-11-29,4,2677.151568,782.317536,311.14902,180.339432,6262.350276,1.269996,4445.29,,,,596.23,14.473,1361.099,109.913,,,,,,79.582,,,,,,,,,,,,,,,,,,,
2022-11-30,4,6288.889464,4287.87918,2338.441326,1436.66055,12474.63407,969.561684,4207.629,,,17.579,1330.196,77.142,3864.975,275.276,,1376.125,,400.766,42.964,,,,,,,,,,,,,,,,1.043,,,,
2022-12-01,4,13962.9914,16295.26287,9505.250868,3406.495023,16163.13912,1045.501002,4625.916,,0.829,,1832.201,10342.619,5377.72,419.227,,2186.407,,146.649,1.187,,,140.485,,,,,,,,,,,,,,,,,
2022-12-02,4,1026.56232,43.0605,447.8292,115.40214,1164.35592,0,4125.17,,,2.372,1242.822,161.826,2671.602,612.761,,4044.82,,17.192,25.608,,,425.434,,,,,,,,,,,,,,,,,
2022-12-03,4,14741.76053,4394.936628,21826.87137,1957.684776,36335.41777,7140.950844,4526.229,,,,2333.998,1066.813,5513.312,299.337,,508.487,,121.661,8.326,201.49,,4.848,,,,,,907.493,,,,,,,,,,,
2022-12-04,4,4824.113477,493.729397,383.829498,2439.121639,4340.225862,3.280594,3267.133,,,,1487.554,661.96,4847.128,618.553,,1457.639,,3.148,66.292,,45.693,,,,,,,,,,,,,,,,,,
2022-12-05,21,13200.44446,3199.392084,10812.36152,1529.540028,20307.7349,1201.68222,3520.036,,20.404,,1940.344,496.798,4939.287,911.893,1.508,767.45,,22.165,117.339,,,356.008,,,,,,,,,,,,,,,,,
2022-12-07,21,9407.192388,5349.592512,3075.19014,3886.297338,10868.42368,187.813626,9456.914,,5.011,26.615,1933.868,830.25,4044.258,665.746,,768.771,,220.709,,,,46.168,,,,,,,,,,,,,,,,,
2022-12-08,21,25486.45674,6032.675123,3514.842091,336.738159,13826.07265,2821.557646,11021.08,,23.075,,3135.444,801.672,7162.21,412.864,1104.322,,,1283.269,,,,266.557,,,,,,461.36,,,,,,,0.649,,,,
2022-12-09,21,10268.6332,7091.74209,12243.50455,2084.78027,16716.62305,2538.37263,7632.816,,,,1722.454,720.377,10997.687,494.968,294.728,1010.272,,491.666,,,,24.73,,,,,,,,,,,,,,,,,
2022-12-10,21,11964.39622,773.2571,1012.26384,421.7766,13456.07946,1289.230474,2055.203,,,,474.474,895.73,6741.399,207.712,,1738.269,,47.222,,,,15.729,,,,,,,,,,,,,,,,,
2022-12-12,21,10189.67145,8635.36545,6680.52675,2723.02455,32401.302,672.53625,5784.744,,63.928,,2123.504,1398.523,1347.689,172.413,1744.402,1010.738,,83.39,522.255,122.419,,118.723,,,,,,43.198,,,,,,,0.89,,,,
2022-12-13,21,7733.10219,5440.3734,2465.83158,837.25227,17342.07339,10.59813,16490.631,,43.529,,1819.658,2228.276,675.109,590.894,,,,323.244,306.801,,,50.513,,,,,,,,,,,,,,,,,
2022-12-14,22,29167.46224,6882.622358,10660.95735,4729.796777,23919.52001,8310.961375,16284.023,,,,1750.386,620.339,3973.225,1372.19,,,,280.052,272.702,488.584,,,,,,,,,,,,,,,,,,,
2022-12-15,22,12596.16002,2388.778536,1641.854988,1101.45408,11174.59585,36.141462,8141.388,,,,1904.984,8405.32,1385.816,415.858,,117.943,,302.026,,,,,,,,,,,,,,,,,,,,,
2022-12-17,22,20862.67398,9912.004656,4888.196326,3874.188387,20326.39015,16365.90321,10408.529,,,,2459.584,867.486,2167.386,1938.597,,,,249.281,59.441,96.186,,,,,,,,2.76,,,,,,,,,,,
2022-12-18,22,9077.578975,4115.42645,4274.6399,398.033625,12630.9337,9856.75995,7344.015,,,,2516.298,6998.351,3618.736,463.927,,1033.423,,419.263,99.733,435.2,,52.636,,,,,,310.032,,,,,,,,,,,
2022-12-19,22,8091.321791,2960.909486,2871.03365,1253.268602,9374.549005,664.082566,7942.56,,64.901,,2255.196,1487.448,4118.033,1099.507,,5627.138,,573.645,124.379,,,,,,,,,,,,,,,,,,,,
2022-12-20,22,21945.29337,4178.347992,6899.654034,1945.711404,13144.75999,26307.45281,4382.362,,,,1271.277,2509.286,2621.694,136.288,,336.12,,5.749,99.472,1561.058,,,,,,,,,,,,,,,,,,,
2022-12-21,22,21044.13573,11152.42216,9913.753928,2098.242272,35119.10962,414.358768,3515.267,,18.919,,1924.635,3605.472,5945.056,75.22,,542.772,,559.029,18.304,,,,4.701,,,,,,,,,,,,,,,,
2022-12-22,23,11220.624,12951.42559,5053.718751,2498.197597,12873.76141,2268.903369,7216.964,,6.536,,1565.675,380.109,3270.765,1606.072,,1292.128,,919.389,18.562,,,2.301,,,,,,,,,,,,,,,,,
2022-12-23,23,9334.434669,4959.50427,3839.781141,1111.201644,4286.306955,4322.097192,10363.04,,44.781,,1235.782,395.274,3574.562,133.279,,2136.519,,1024.971,,,,114.799,,,,,,,,,,,,,,,,,
2022-12-24,23,7774.742464,2447.126008,1040.074656,2111.49908,20683.47046,5.532312,4863.919,,20.601,,2127.859,316.252,4778.967,332.414,,1486.349,,125.288,,495.886,,0.771,,,,,,381.489,,,,,,,,,,,
2022-12-25,23,5770.354931,833.152851,1093.429265,3384.935013,17226.54204,0,3587.734,,19.517,,914.458,333.297,3473.536,955.387,,1066.9,,123.075,44.173,,,,,,,,,,,,,,,,,,,,
2022-12-28,23,4946.998457,873.660136,2115.768063,517.459917,11239.18857,0,3873.726,,,,1450.165,380.603,5235.624,201.079,,,,176.026,70.743,,,0.59,,,,,,,,,,,,,,,,,
2022-12-29,23,7064.263004,1535.360456,4220.903832,802.4532,3038.622784,810.477732,2596.788,,37.236,,964.723,228.205,3461.884,230.949,,874.224,,103.216,30.836,3.32,,,,,,,,,,,,,,,,,,,
2022-12-30,23,13522.84174,5659.06585,18194.28432,2769.066194,26068.91321,5138.121706,2502.135,,690.711,,867.041,16.193,5912.7,154.84,,378.133,,127.961,,1261.73,89.43,,,,,,,,,,,,,,,,,,
2023-01-01,23,1498.153806,1531.92861,1281.030066,569.346696,8909.310798,118.211814,8924.887,,,,2134.072,4148.993,2188.253,885.197,1132.162,103.981,,204.946,11.03,,,0.694,,,,,,,,,,,,,,,,,
2023-01-02,23,17799.36625,14073.33201,14540.48495,1074.172032,32745.46304,6165.299892,4801.509,,92.899,,2203.923,4195.885,3578.586,365.773,68.384,206.885,,2.616,172.268,,96.454,18.254,,,,,,,,,,,,,,,,,
2023-01-03,23,13808.73116,1802.120426,1524.564664,1355.906378,9337.294558,1247.008902,7959.002,,253.631,804.062,2566.292,7322.25,5002.936,90.392,941.708,1649.48,,466.776,314.419,,,289.881,,,,,,592.104,,,,,,,0.49,,,,
2022-12-19,6,1789,3510.5,5438,911,8969.5,320,2309.616,,2.229,,,392.458,19485.547,660.925,130.298,15610.327,,,,,,,,,206.516,,,,,,,,,,,,,,
2022-12-20,6,16989.73515,5719.202669,15211.28512,4302.055105,41692.6016,2485.019367,,,,,858.592,36.21,1513.701,735.499,,1824.42,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,6,15598.73448,7374.04038,17100.70198,3816.155574,40693.53166,1816.60689,4.436,,,,3.753,19.261,329.083,139.192,,194.492,,,,,,,,,268.91,,,,,,,,,,,,,,
